"Name","Population","Held by","source","More information","sourceLink","update","Lat","Lon"
"Apostolove","16,356","Ukraine","","","","8 March 2022 01h46 UTC","47.6595","33.717"
"Bakhmut","72,310","Ukraine","10","","https://artemrada.gov.ua/news/10260","8 March 2022 01h46 UTC","48.6044","38.0067"
"Balakliia","26,921","Contested","19","","https://suspilne.media/211232-do-balaklii-nablizautsa-vijska-rf-miskij-golova/","8 March 2022 01h46 UTC","49.4564","36.8389"
"Bar","15,563","Ukraine","","","","8 March 2022 01h46 UTC","49.0781","27.6831"
"Barvinkove","8,110","Ukraine","","","","8 March 2022 01h46 UTC","48.9067","37.0131"
"Berdiansk","107,928","Russia","49","See Battle of Berdiansk","https://edition.cnn.com/europe/live-news/ukraine-russia-news-02-27-22/h_9b36acb1e0881aa346e1e1edec93e14f","8 March 2022 01h46 UTC","46.7598","36.7845"
"Berdychiv","73,999","Ukraine","","","","8 March 2022 01h46 UTC","49.8919","28.6"
"Berehove","23,485","Ukraine","","","","8 March 2022 01h46 UTC","48.2025","22.6375"
"Berezhany","17,316","Ukraine","","","","8 March 2022 01h46 UTC","49.45","24.9333"
"Bershad","12,446","Ukraine","","","","8 March 2022 01h46 UTC","48.3728","29.5325"
"Bila Tserkva","208,737","Ukraine","","","","8 March 2022 01h46 UTC","49.7956","30.1167"
"Bile","100","Russia","","See Attack on Snake Island","","8 March 2022 01h46 UTC","45.255","30.204167"
"Bilhorod-Dnistrovskyi","48,197","Ukraine","","","","8 March 2022 01h46 UTC","46.1833","30.3333"
"Bilovodsk","7,771","Contested","35","","https://www.unian.ua/war/syevyerodoneck-lisichansk-ta-rubizhne-pid-kontrolem-ukrajini-luganska-oda-novini-donbasu-11718511.html","8 March 2022 01h46 UTC","49.1992","39.5756"
"Bohodukhiv","15,797","Contested","17","","https://en.wikipedia.org/wiki/General_Staff_of_the_Ukrainian_Armed_Forces","8 March 2022 01h46 UTC","50.1608","35.5164"
