"Name","Population","Held by","source","More information","sourceLink","update","Lat","Lon"
"Apostolove",16356,"Ukraine","","","","11 March 2022 07h17 UTC","47.6595","33.717"
"Bakhmut",72310,"Ukraine","8","","https://artemrada.gov.ua/news/10260","11 March 2022 07h17 UTC","48.6044","38.0067"
"Balakliia",26921,"Contested","16","","https://suspilne.media/211232-do-balaklii-nablizautsa-vijska-rf-miskij-golova/","11 March 2022 07h17 UTC","49.4564","36.8389"
"Bar",15563,"Ukraine","","","","11 March 2022 07h17 UTC","49.0781","27.6831"
"Barvinkove",8110,"Ukraine","","","","11 March 2022 07h17 UTC","48.9067","37.0131"
"Berdiansk",107928,"Russia","50","See Battle of Berdiansk","https://www.understandingwar.org/backgrounder/russian-offensive-campaign-assessment-march-4","11 March 2022 07h17 UTC","46.7598","36.7845"
"Berdychiv",73999,"Ukraine","","","","11 March 2022 07h17 UTC","49.8919","28.6"
"Berehove",23485,"Ukraine","","","","11 March 2022 07h17 UTC","48.2025","22.6375"
"Berezhany",17316,"Ukraine","","","","11 March 2022 07h17 UTC","49.45","24.9333"
"Bershad",12446,"Ukraine","","","","11 March 2022 07h17 UTC","48.3728","29.5325"
"Bila Tserkva",208737,"Ukraine","","","","11 March 2022 07h17 UTC","49.7956","30.1167"
"Bile",100,"Russia","","See Attack on Snake Island","","11 March 2022 07h17 UTC","45.255","30.204167"
"Bilhorod-Dnistrovskyi",48197,"Ukraine","","","","11 March 2022 07h17 UTC","46.1833","30.3333"
"Bilovodsk",7771,"Russia","38","","https://ua.interfax.com.ua/news/general/802510.html","11 March 2022 07h17 UTC","49.1992","39.5756"
"Bohodukhiv",15797,"Contested","14","","https://en.wikipedia.org/wiki/General_Staff_of_the_Ukrainian_Armed_Forces","11 March 2022 07h17 UTC","50.1608","35.5164"
"Borodianka",13044,"Contested","24","","https://www.unian.ua/war/u-gostomeli-nemishayevomu-buchi-ta-borodyanci-trivayut-boji-policiya-novini-kiyeva-11726557.html","11 March 2022 07h17 UTC","50.6439","29.9339"
"Brody",23335,"Ukraine","","","","11 March 2022 07h17 UTC","50.0781","25.1542"
"Brovary",109473,"Contested","25","","https://news.sky.com/video/ukraine-war-lots-and-lots-of-losses-military-vehicles-destroyed-in-brovary-north-east-of-kyiv-12562350","11 March 2022 07h17 UTC","50.5114","30.7903"
